Detector,Clip Type,Own TTS,EL,VC,Real Audio
Worclow,Short,79.6,0.6,91.5,2
Worclow,Short,40.8,23.4,76.4,1.7
Worclow,Short,17.1,0.2,9.8,90.9
Worclow,Short,6.3,31.3,36.5,7.9
Worclow,Short,26.6,0.3,4.8,13.3
Worclow,Phoneme,4,0.2,34.8,14.6
Worclow,Phoneme,75.3,2.7,98.5,1.2
Worclow,Phoneme,18.1,0.4,95.6,30.3
Worclow,Phoneme,81.4,0.3,47.2,1
Worclow,Phoneme,87.1,0.2,74.6,8.6
UNB,Short,0.2,0.1,95,0.6
UNB,Short,0.1,0,0.2,0
UNB,Short,0.2,0.1,0.2,0.1
UNB,Short,0,0.1,49.6,0
UNB,Short,0.1,0,1.7,0
UNB,Phoneme,0,0,0.3,30.9
UNB,Phoneme,33.7,0.1,12.3,0
UNB,Phoneme,0.3,0,0.1,0
UNB,Phoneme,0,0,0.4,0
UNB,Phoneme,0.1,0,0.3,0
Naver,Short,93.6,75.6,99.8,92.2
Naver,Short,100,85,99.9,90
Naver,Short,97.4,81.8,99.1,94.5
Naver,Short,97.3,75.5,99.6,97.7
Naver,Short,98.7,75.1,99.9,95.6
Naver,Phoneme,99.9,89.4,100,96.3
Naver,Phoneme,99.9,81.8,99.6,93.3
Naver,Phoneme,99.5,73.9,99.9,87.2
Naver,Phoneme,96.7,76.8,99.8,99.8
Naver,Phoneme,99.3,78.3,99.8,98.2
,,,,,
Results,Short,34.08,11.16,43.8,
,Phoneme,53.18,0.76,70.14,
,Real,17.15,,,
