/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice161.wav|and yet we are providing affordable housing to a vast majority of New Yorkers.| and yet we are providing affordable housing to a vast majority of New Yorkers.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice130.wav|Often they're not allowed to because we allowed with the FAR cap, you could build taller for commercial than you could for housing. And so there's buildings that have more floor space for commercial than is legally allowed to be turned into housing.| Often they're not allowed to because we allowed with the FAR cap, you could build taller for commercial than you could for housing. And so there's buildings that have more floor space for commercial than is legally allowed to be turned into housing.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice78.wav|When we were first investigating splitting the atom, the bounds of possibilities were unlimited, clean energy for all with no waste through fusion and extinction through nuclear bombs.| When we were first investigating splitting the atom, the bounds of possibilities were unlimited, clean energy for all with no waste through fusion and extinction through nuclear bombs.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice8.wav|in machine learning, which is very relevant as we discussed| in machine learning, which is very relevant as we discussed
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice77.wav|The only thing that comes close is thinking about nuclear power, right?| The only thing that comes close is thinking about nuclear power, right?
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice158.wav|I'm in active conversations with a lot of these groups, and they're not a monolith, especially the ones that represent just the owners of Old Stock are very supportive, those that own vacant lands less so.| I'm in active conversations with a lot of these groups, and they're not a monolith, especially the ones that represent just the owners of Old Stock are very supportive, those that own vacant lands less so.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice21.wav|But part of building a data informed government is less about the tech and what's available and also more about just building trust.| But part of building a data informed government is less about the tech and what's available and also more about just building trust.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice71.wav|you delay that, that hurts safety and that hurts the reform efforts. And so I was advocating we need more judges, we need more judges and through the| you delay that, that hurts safety and that hurts the reform efforts. And so I was advocating we need more judges, we need more judges and through the
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice20.wav|But on the inside, I mean, we have fairly thick reports available to us on what certain policies may or may not do.| But on the inside, I mean, we have fairly thick reports available to us on what certain policies may or may not do.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice116.wav|And when you start talking about government chat bots, well, perhaps there's a lot there to speed up interacting with the government. You have to be really worried about giving false information to a citizen that then relies upon.| And when you start talking about government chat bots, well, perhaps there's a lot there to speed up interacting with the government. You have to be really worried about giving false information to a citizen that then relies upon.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice91.wav|It wouldn't apply to state or local ones. So I introduced a bill last session to require that if you use generative AI to make a deep fake video or manipulate someone's image or fake their voice, any of those uses would require a disclosure that| It wouldn't apply to state or local ones. So I introduced a bill last session to require that if you use generative AI to make a deep fake video or manipulate someone's image or fake their voice, any of those uses would require a disclosure that
